"county_name" "state" "confirmed_cases" "deaths" "total_pop" "white_pop" "black_pop" "asian_pop" "amerindian_pop" "hispanic_pop" "median_income" "households_public_asst_or_food_stamps" "children_in_single_female_hh" "employed_pop" "unemployed_pop" "pop_determined_poverty_status" "not_us_citizen_pop" "two_parent_families_with_young_children" "poverty" "income_under_40" "income_over_40_under_100" "income_over_100" "income_200000_or_more" "commuters_in_groups" "local_commuters" "out_of_town_commuters" "cases_per_1000" "deaths_per_1000" "death_per_case" "k12_students" "children" "some_college_and_associates_degree" "associates_degree" "bachelors_degree" "masters_degree"
"1" "Essex County" "VT" 111 0 6203 5929 64 32 20 83 38767 575 278 2784 149 6189 81 159 960 1397 1055 245 23 281 1949 420 17.8945671449299 0 0 795 1112 1142 489 427 205
"2" "Chittenden County" "VT" 3636 78 160985 143657 4091 6144 374 3542 66906 6748 5692 90054 3827 151389 6774 6866 17057 19037 25465 15806 4598 9450 75265 6013 22.5859552132186 0.484517191042644 0.0214521452145215 20662 29690 25605 8839 30524 14735
"3" "Kent County" "DE" 11548 187 173145 108627 41729 3459 967 11820 57647 10685 12896 78078 5563 167750 4860 7373 21743 22170 27235 11873 2103 8479 58860 13930 66.6955441970603 1.08001963672067 0.0161932802216834 27139 40551 35143 9690 16509 7513
"4" "Washington County" "RI" 5521 122 126190 115206 1621 2436 1047 3769 77862 4350 4171 64576 4142 120153 2060 4306 11569 13257 17281 14511 4559 5193 48724 9099 43.7514858546636 0.966796101117363 0.0220974461148343 16757 22226 22271 7581 21818 11762
"5" "Belknap County" "NH" 2496 79 60383 57523 285 579 130 951 65834 2512 2624 30674 1589 59298 559 1769 5421 7411 10426 5501 1241 2958 22486 4992 41.3361376546379 1.30831525429343 0.031650641025641 8480 11566 13964 4518 8666 3883
"6" "Newport County" "RI" 3578 6 83204 71549 2596 1670 290 4623 75463 3581 3461 41471 2349 79623 2833 3135 7178 9535 12959 9807 3120 4827 33362 5352 43.0027402528725 0.0721119176962646 0.00167691447736165 9975 14897 14547 4253 16852 7970
"7" "Lamoille County" "VT" 312 1 25191 23895 214 161 208 408 54899 1408 1077 13437 526 24578 386 1059 3439 3941 4102 1871 487 1336 9008 2600 12.3853757294272 0.0396967170814974 0.00320512820512821 3728 5368 4966 1813 4006 1908
"8" "Tolland County" "CT" 6255 125 151596 129519 4425 6690 38 7860 81312 4556 5130 80613 4962 135845 4926 5703 8798 12802 20521 16325 5230 6823 61029 10479 41.2609831393968 0.824560014776115 0.0199840127897682 20038 27504 26080 8696 21525 12436
"9" "Addison County" "VT" 527 5 36825 34245 337 711 94 795 61875 1683 1155 19872 907 33963 750 1425 2638 4612 6475 3012 602 1803 13512 2695 14.3109300746775 0.135777325186694 0.0094876660341556 4663 6602 6249 2095 5487 2657
"10" "Caledonia County" "VT" 307 4 30576 29070 272 186 65 460 47371 2256 1180 14475 741 29480 244 1057 3629 5050 5073 1698 273 1540 10261 2148 10.0405546834118 0.130821559392988 0.0130293159609121 4432 6197 5454 1778 3602 1681
"11" "Nantucket County" "MA" 990 2 10912 8050 873 260 64 943 91942 207 621 6408 251 10751 997 407 1205 673 1306 1262 520 634 4841 149 90.7258064516129 0.183284457478006 0.00202020202020202 1444 2220 2120 507 1960 1260
"12" "Plymouth County" "MA" 32246 1104 509114 416813 44804 6218 502 18664 82081 20773 25103 261653 16789 497683 18375 22151 39748 45105 64358 55194 19538 35524 168637 70041 63.3374843355319 2.16847307282848 0.0342368045649073 80995 113114 101226 34688 79833 34495
"13" "Barnstable County" "MA" 7499 303 213900 192917 5699 3111 918 5869 68048 7725 7487 104246 6012 210968 7021 5841 15810 27718 37832 22968 6493 8938 79743 12227 35.0584385226741 1.41654978962132 0.0404053873849847 25013 33501 47645 15078 39428 21534
"14" "Cheshire County" "NH" 1987 9 76109 71930 506 970 125 1302 60148 3021 3194 40037 1883 71505 1014 2562 7297 10129 13135 5896 1369 3501 29597 4314 26.1072934869726 0.118251455149851 0.00452944136889784 9293 13920 15095 5114 10363 4960
"15" "Berkshire County" "MA" 4081 187 127751 113686 3280 2088 253 5461 55190 8026 6496 63947 4701 121393 3570 3903 13778 20311 21327 10641 2784 5914 50055 5622 31.9449554210926 1.46378501929535 0.045822102425876 15897 22554 25745 8653 16997 9804
"16" "Franklin County" "MA" 1615 95 70926 64668 879 1051 132 2669 57307 4506 3008 36953 2281 69807 1750 2449 7635 10801 12595 5944 1172 4081 27142 4660 22.7702112060457 1.33942418859093 0.0588235294117647 9110 12796 14883 5675 9936 7242
"17" "Grafton County" "NH" 1614 10 89280 81439 901 2998 370 1984 61036 2943 3156 45847 1934 82628 2907 3122 8993 11673 13987 6666 2530 4587 34523 4705 18.0779569892473 0.112007168458781 0.00619578686493185 10184 15095 15712 5150 12183 7339
